"Median Household Income by State","",""
"State","Income","Margin Of Error"
"Alabama","$44,758","+/- $314"
"Alaska","$74,444","+/- $809"
"Arizona","$51,340","+/- $231"
"Arkansas","$42,336","+/- $234"
"California","$63,783","+/- $188"
"Colorado","$62,520","+/- $287"
"Connecticut","$71,755","+/- $473"
"Delaware","$61,017","+/- $723"
"District of Columbia","$72,935","+/- $1,164"
"Florida","$48,900","+/- $200"
"Georgia","$51,037","+/- $182"
"Hawaii","$71,977","+/- $663"
"Idaho","$49,174","+/- $425"
"Illinois","$59,196","+/- $236"
"Indiana","$50,433","+/- $195"
"Iowa","$54,570","+/- $300"
"Kansas","$53,571","+/- $305"
"Kentucky","$44,811","+/- $312"
"Louisiana","$45,652","+/- $316"
"Maine","$50,826","+/- $425"
"Maryland","$76,067","+/- $423"
"Massachusetts","$70,954","+/- $343"
"Michigan","$50,803","+/- $162"
"Minnesota","$63,217","+/- $225"
"Mississippi","$40,528","+/- $258"
"Missouri","$49,593","+/- $259"
"Montana","$48,380","+/- $532"
"Nebraska","$54,384","+/- $314"
"Nevada","$53,094","+/- $378"
"New Hampshire","$68,485","+/- $579"
"New Jersey","$73,702","+/- $377"
"New Mexico","$45,674","+/- $350"
"New York","$60,741","+/- $209"
"North Carolina","$48,256","+/- $229"
"North Dakota","$59,114","+/- $853"
"Ohio","$50,674","+/- $157"
"Oklahoma","$48,038","+/- $247"
"Oregon","$53,270","+/- $327"
"Pennsylvania","$54,895","+/- $185"
"Rhode Island","$58,387","+/- $712"
"South Carolina","$46,898","+/- $307"
"South Dakota","$52,078","+/- $508"
"Tennessee","$46,574","+/- $206"
"Texas","$54,727","+/- $165"
"Utah","$62,518","+/- $349"
"Vermont","$56,104","+/- $793"
"Virginia","$66,149","+/- $285"
"Washington","$62,848","+/- $343"
"West Virginia","$42,644","+/- $410"
"Wisconsin","$54,610","+/- $201"
"Wyoming","$59,143","+/- $896"
"Puerto Rico","$19,606","+/- $168"
"Source(s): U.S. Census Bureau, 2012-2016 American Community Survey 5-year Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
 Â ","",""