(Thousands of Dollars),Total revenue,,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,,Current charge,Miscellaneous general revenue,,Utility revenue,Liquor stores revenue,Insurance trust revenue,,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,,"General expenditure, by function:",Education,Public welfare,Hospitals,Health,Highways,,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,,Interest on general debt,Other and unallocable,,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,,Debt at end of fiscal year,,Cash and security holdings
United States,2136635006.00,,1909321839.00,637167820.00,922855839.00,291472708.00,149651791.00,51984016.00,343620739.00,46201841.00,39924744.00,,208904262.00,140393918.00,,13823602.00,8088520.00,205401045.00,,2224959623.00,532698646.00,1692260977.00,1184405722.00,128605961.00,285400474.00,46723289.00,47125531.00,265784140.00,,2224959623.00,1905865863.00,532698646.00,1373167217.00,,,664418485.00,638961550.00,80924379.00,63693717.00,124525396.00,,16479609.00,51835963.00,24071822.00,6516984.00,57615422.00,,44623911.00,132198625.00,,27246160.00,6447126.00,285400474.00,,1160488556.00,,4159813529.00
Alabama,30172490.00,,25288886.00,9521969.00,9919794.00,2596223.00,2509879.00,507479.00,3492904.00,376680.00,436629.00,,4704941.00,1142182.00,,,325393.00,4558211.00,,29747318.00,6672049.00,23075269.00,16611118.00,1810752.00,3541484.00,773560.00,338355.00,4760946.00,,29747318.00,25884491.00,6672049.00,19212442.00,,,10936141.00,7203252.00,2636578.00,517728.00,1653128.00,,170514.00,541525.00,250813.00,18359.00,575510.00,,338355.00,1042588.00,,75.00,321268.00,3541484.00,,8667105.00,,42962452.00
Alaska,8071732.00,,7628651.00,2853202.00,1042164.00,0.00,260846.00,120529.00,0.00,212252.00,448537.00,,700785.00,3032500.00,,18640.00,,424441.00,,12359938.00,2038078.00,10321860.00,7146868.00,1505040.00,1329941.00,155125.00,184886.00,1718737.00,,12359938.00,10797248.00,2038078.00,8759170.00,,,2787912.00,2372655.00,28295.00,251371.00,1290503.00,,140154.00,332443.00,479705.00,15045.00,701168.00,,181709.00,2216288.00,,232749.00,,1329941.00,,5953933.00,,74144627.00
Arizona,38232376.00,,34582961.00,14540462.00,14676375.00,6660817.00,2019192.00,482362.00,3967924.00,570548.00,975532.00,,2880476.00,2485648.00,,29095.00,,3620320.00,,41770243.00,10904370.00,30865873.00,23704082.00,1596599.00,4266980.00,658760.00,639452.00,3973399.00,,41770243.00,37473645.00,10904370.00,26569275.00,,,12502920.00,14284731.00,53321.00,2640044.00,2194035.00,,247231.00,1073370.00,271519.00,80650.00,777015.00,,637325.00,2711484.00,,29618.00,,4266980.00,,14400191.00,,58120830.00
Arkansas,21439227.00,,20346096.00,7431541.00,9452883.00,3314363.00,1275709.00,396891.00,2781458.00,450159.00,1234303.00,,2454868.00,1006804.00,,,,1093131.00,,22881728.00,5882840.00,16998888.00,13345202.00,1101042.00,1936105.00,485634.00,130905.00,3006878.00,,22881728.00,20945623.00,5882840.00,15062783.00,,,8440012.00,6979738.00,1021700.00,296508.00,1443384.00,,119889.00,429314.00,304251.00,71110.00,658278.00,,130905.00,1050534.00,,,,1936105.00,,4828756.00,,32770092.00
California,322332341.00,,282907926.00,94336283.00,155231252.00,39189007.00,14176746.00,8551427.00,80753345.00,9902185.00,2658542.00,,23164164.00,10176227.00,,775236.00,,38649179.00,,327898210.00,103512395.00,224385815.00,152385408.00,10333559.00,49297544.00,5182384.00,7186920.00,33914171.00,,327898210.00,277247872.00,103512395.00,173735477.00,,,94666744.00,107043559.00,10968673.00,9053782.00,10923189.00,,1920894.00,9528475.00,6898403.00,632840.00,8043094.00,,6993920.00,10574299.00,,1352794.00,,49297544.00,,151307658.00,,634296643.00
Colorado,31424888.00,,27554624.00,8703745.00,12795318.00,2840173.00,2056856.00,702499.00,6485602.00,626109.00,84079.00,,3861835.00,2193726.00,,,,3870264.00,,34282697.00,7310747.00,26971950.00,18313755.00,1836545.00,5483219.00,478980.00,859451.00,5242693.00,,34282697.00,28786175.00,7310747.00,21475428.00,,,11463040.00,8690488.00,914125.00,611792.00,1863019.00,,239388.00,1041204.00,354229.00,105729.00,955647.00,,847767.00,1699747.00,,13303.00,,5483219.00,,16686588.00,,72096139.00
Connecticut,28139072.00,,26171704.00,7320793.00,15244947.00,3752793.00,2396989.00,455454.00,7557153.00,719467.00,363091.00,,2038995.00,1566969.00,,34650.00,,1932718.00,,31918825.00,5438230.00,26480595.00,17605393.00,2305066.00,4514111.00,563907.00,1492118.00,4576230.00,,31918825.00,26645799.00,5438230.00,21207569.00,,,8246895.00,7726922.00,1416094.00,1085064.00,1413880.00,,241020.00,693520.00,233360.00,68926.00,1518277.00,,1492118.00,2509723.00,,758915.00,,4514111.00,,37024731.00,,46766950.00
Delaware,8083659.00,,7962885.00,2231253.00,3522301.00,0.00,539193.00,1452596.00,1112368.00,318152.00,99992.00,,1200655.00,1008676.00,,20827.00,,99947.00,,9377257.00,1511805.00,7865452.00,5968905.00,692112.00,678409.00,327965.00,198061.00,1405778.00,,9377257.00,8561860.00,1511805.00,7050055.00,,,3072776.00,2454630.00,45578.00,456558.00,603206.00,,132830.00,308341.00,96033.00,55288.00,519097.00,,198061.00,619462.00,,136988.00,,678409.00,,5045161.00,,12004076.00
Florida,85575636.00,,80261324.00,27390107.00,37640420.00,22291157.00,8138145.00,2241468.00,0.00,2272230.00,2697420.00,,8234288.00,6996509.00,,24757.00,,5289555.00,,87924052.00,20407866.00,67516186.00,49167712.00,6473452.00,8892649.00,1987559.00,994814.00,9126839.00,,87924052.00,78769484.00,20407866.00,58361618.00,,,26379172.00,25597070.00,957317.00,3612735.00,8007319.00,,566008.00,2308698.00,1078512.00,147043.00,2445200.00,,994814.00,6675596.00,,261919.00,,8892649.00,,33469117.00,,193258838.00
Georgia,45859766.00,,42279551.00,14571741.00,21454860.00,5480196.00,2928260.00,663946.00,10439534.00,981002.00,961922.00,,3680186.00,2572764.00,,5699.00,,3574516.00,,47487009.00,11835632.00,35651377.00,24326941.00,3130936.00,6372959.00,1185669.00,634872.00,6354544.00,,47487009.00,41028179.00,11835632.00,29192547.00,,,18229558.00,12005228.00,1290511.00,1451470.00,2772343.00,,436293.00,1230802.00,449981.00,226249.00,919534.00,,634872.00,1381338.00,,85871.00,,6372959.00,,13130551.00,,94038910.00
Hawaii,13417567.00,,12919296.00,2943334.00,6919035.00,3206154.00,1109748.00,263130.00,2116130.00,108169.00,115704.00,,1799125.00,1257802.00,,,95.00,498176.00,,12191854.00,134933.00,12056921.00,9461147.00,950020.00,1385193.00,139811.00,120750.00,3233075.00,,12191854.00,10806661.00,134933.00,10671728.00,,,3386370.00,2760118.00,627076.00,515683.00,456996.00,,38801.00,266716.00,176518.00,71879.00,563903.00,,120750.00,1821851.00,,0.00,,1385193.00,,9216583.00,,22382636.00
Idaho,9401987.00,,8150771.00,2721730.00,4205848.00,1559332.00,558096.00,372883.00,1521238.00,188996.00,5303.00,,771231.00,451962.00,,,155416.00,1095800.00,,9244971.00,2277298.00,6967673.00,5073122.00,480348.00,1113302.00,146131.00,154770.00,1422187.00,,9244971.00,8011602.00,2277298.00,5734304.00,,,2956397.00,2429315.00,47715.00,152781.00,682385.00,,64370.00,266744.00,233584.00,35297.00,389364.00,,154770.00,598880.00,,,120067.00,1113302.00,,3542856.00,,23793309.00
Illinois,75492133.00,,68847197.00,20264895.00,38907220.00,11344480.00,7179785.00,2745949.00,13806525.00,3367461.00,463020.00,,5233549.00,4441533.00,,,,6644936.00,,77826111.00,18109138.00,59716973.00,35295223.00,5632178.00,14375834.00,1178148.00,3235590.00,8200310.00,,77826111.00,63450277.00,18109138.00,45341139.00,,,17289093.00,21878017.00,1525969.00,1803293.00,6745686.00,,396860.00,1056155.00,170577.00,261054.00,1298447.00,,3235590.00,7789536.00,,0.00,,14375834.00,,65791900.00,,148349302.00
Indiana,38687720.00,,36259733.00,13041760.00,17587958.00,7306331.00,3301876.00,714634.00,5218166.00,1034367.00,12584.00,,3617636.00,2012379.00,,,,2427987.00,,39222656.00,9711681.00,29510975.00,22068097.00,2224190.00,2881905.00,1357840.00,978943.00,4425938.00,,39222656.00,36340377.00,9711681.00,26628696.00,,,15594634.00,12709202.00,154233.00,568635.00,2543104.00,,234088.00,731005.00,331976.00,91639.00,731025.00,,978943.00,1671893.00,,374.00,,2881905.00,,22470543.00,,57672184.00
Iowa,23716008.00,,21074390.00,6645791.00,9559058.00,3162854.00,1430472.00,925958.00,3553325.00,376865.00,109584.00,,3502827.00,1366714.00,,0.00,290651.00,2350967.00,,23381086.00,5470729.00,17910357.00,12530936.00,2058930.00,2520429.00,593571.00,206491.00,3425661.00,,23381086.00,20660285.00,5470729.00,15189556.00,,,7188144.00,6500571.00,1784719.00,264957.00,2178645.00,,102930.00,294576.00,281477.00,33352.00,578370.00,,206491.00,1246053.00,,0.00,200372.00,2520429.00,,5956424.00,,42462384.00
Kansas,17609012.00,,16459697.00,3828203.00,8058949.00,3240354.00,1084599.00,396648.00,2231902.00,391877.00,713569.00,,3452928.00,1119617.00,,,,1149315.00,,18664921.00,4799630.00,13865291.00,10138807.00,1411413.00,1892459.00,248499.00,174113.00,2849650.00,,18664921.00,16772462.00,4799630.00,11972832.00,,,7180776.00,4150491.00,2018521.00,201034.00,1336182.00,,100614.00,355523.00,221961.00,39714.00,438922.00,,174113.00,554611.00,,,,1892459.00,,9537833.00,,23300641.00
Kentucky,29917598.00,,28198449.00,11563609.00,11778866.00,3462704.00,2140416.00,505377.00,4282080.00,606840.00,781449.00,,3684666.00,1171308.00,,0.00,,1719149.00,,35147233.00,4780430.00,30366803.00,21799777.00,2432896.00,4396382.00,1083914.00,653834.00,4323891.00,,35147233.00,30719403.00,4780430.00,25938973.00,,,10210961.00,11265798.00,1865675.00,481814.00,2414369.00,,248732.00,631655.00,403143.00,126847.00,1145869.00,,653834.00,1270706.00,,25738.00,5710.00,4396382.00,,14453423.00,,39481499.00
Louisiana,26842105.00,,24110397.00,10361925.00,9309673.00,3186614.00,2166293.00,400191.00,2866456.00,171579.00,518540.00,,1950249.00,2488550.00,,12706.00,,2719002.00,,31246084.00,5766006.00,25480078.00,16717113.00,2423949.00,4480757.00,978447.00,879812.00,4021668.00,,31246084.00,26756017.00,5766006.00,20990011.00,,,9398629.00,8805375.00,461054.00,492242.00,1612860.00,,330826.00,661918.00,762537.00,340558.00,988799.00,,879812.00,2021407.00,,9310.00,,4480757.00,,17913229.00,,58561185.00
Maine,8987038.00,,8310408.00,2893648.00,4130242.00,1359190.00,718723.00,272253.00,1551637.00,137492.00,90947.00,,823298.00,463220.00,,9148.00,165399.00,502083.00,,9330098.00,1288779.00,8041319.00,6224554.00,473930.00,997403.00,162784.00,182648.00,1055553.00,,9330098.00,8309131.00,1288779.00,7020352.00,,,2183546.00,3342542.00,78844.00,221889.00,715805.00,,96243.00,166878.00,198999.00,8239.00,431579.00,,182648.00,681919.00,,23564.00,0.00,997403.00,,4845408.00,,18311224.00
Maryland,42037052.00,,39159671.00,12290258.00,20894199.00,4504242.00,4435188.00,884363.00,8517529.00,1129008.00,1423869.00,,3665456.00,2309758.00,,156390.00,,2720991.00,,43759423.00,9398276.00,34361147.00,23861626.00,3147304.00,4344038.00,1861189.00,1146990.00,5346953.00,,43759423.00,38425621.00,9398276.00,29027345.00,,,12606899.00,11933432.00,551398.00,2284125.00,2556540.00,,615231.00,1476235.00,510887.00,122170.00,1509345.00,,1146990.00,3112369.00,,989764.00,,4344038.00,,27871287.00,,50279725.00
Massachusetts,60311575.00,,54701395.00,16401221.00,27277284.00,6089860.00,2594006.00,1122219.00,14430331.00,2333892.00,706976.00,,5337294.00,5685596.00,,878435.00,,4731745.00,,63569367.00,9080507.00,54488860.00,38756837.00,4562236.00,6665039.00,1278165.00,3226583.00,6890768.00,,63569367.00,53648401.00,9080507.00,44567894.00,,,13613337.00,20186031.00,550799.00,1881864.00,3005878.00,,905695.00,1121625.00,385287.00,263787.00,1877709.00,,2885213.00,6971176.00,,3255927.00,,6665039.00,,76861071.00,,84501273.00
Michigan,71188554.00,,61246103.00,20908261.00,27436607.00,9163542.00,4075591.00,1660663.00,9303847.00,898213.00,2334751.00,,8688398.00,4212837.00,,,1021890.00,8920561.00,,70110424.00,20818310.00,49292114.00,36195918.00,2287317.00,7769172.00,1372717.00,1666990.00,9534602.00,,70110424.00,61516323.00,20818310.00,40698013.00,,,25199445.00,18707348.00,3789047.00,1591379.00,2743085.00,,487890.00,1900994.00,335415.00,142474.00,1036361.00,,1666990.00,3915895.00,,0.00,824929.00,7769172.00,,33744508.00,,85112135.00
Minnesota,44247753.00,,41213212.00,11321336.00,25189128.00,5583910.00,4536737.00,1426235.00,10732570.00,1515697.00,1393979.00,,2636013.00,2066735.00,,104120.00,,2930421.00,,46594683.00,13143647.00,33451036.00,24077410.00,2279139.00,5353191.00,1149595.00,591701.00,5439188.00,,46594683.00,40770252.00,13143647.00,27626605.00,,,15051078.00,14873839.00,303151.00,529725.00,3195546.00,,446435.00,620117.00,654864.00,296279.00,1139234.00,,591658.00,3068326.00,,471240.00,,5353191.00,,16213046.00,,76448020.00
Mississippi,20880788.00,,18953932.00,8299349.00,7660391.00,3297760.00,1480034.00,553510.00,1800053.00,463111.00,65923.00,,2296501.00,697691.00,,,337971.00,1588885.00,,22108192.00,5251972.00,16856220.00,12414657.00,1170296.00,2645918.00,362632.00,262717.00,2599943.00,,22108192.00,19183062.00,5251972.00,13931090.00,,,6400333.00,6633077.00,1469107.00,422536.00,1336544.00,,138506.00,336391.00,235035.00,46045.00,388402.00,,262717.00,1514369.00,,0.00,279212.00,2645918.00,,7283371.00,,32634787.00
Missouri,33039255.00,,28850421.00,10987857.00,12245169.00,3536396.00,1765868.00,547326.00,6023701.00,328736.00,43142.00,,3045528.00,2571867.00,,,,4188834.00,,32409714.00,6172736.00,26236978.00,19120822.00,1277634.00,4537344.00,531621.00,769557.00,3926595.00,,32409714.00,27872370.00,6172736.00,21699634.00,,,9655683.00,8666452.00,1991846.00,1838161.00,1375206.00,,230785.00,814328.00,305337.00,82539.00,557284.00,,769557.00,1585192.00,,0.00,,4537344.00,,19103212.00,,70627828.00
Montana,6862804.00,,6011223.00,2445647.00,2627943.00,0.00,562474.00,319020.00,1181042.00,118969.00,446438.00,,490259.00,447374.00,,,93996.00,757585.00,,7083841.00,1094338.00,5989503.00,4495142.00,366259.00,944515.00,72585.00,111002.00,1081620.00,,7083841.00,6039586.00,1094338.00,4945248.00,,,1869485.00,1697056.00,70494.00,221589.00,645768.00,,38763.00,212206.00,218932.00,17387.00,423532.00,,111002.00,513372.00,,18201.00,81539.00,944515.00,,3052423.00,,18742883.00
Nebraska,10881575.00,,10129757.00,3162157.00,5117133.00,1783498.00,579220.00,185082.00,2244719.00,307672.00,16942.00,,1174744.00,675723.00,,,,751818.00,,10941892.00,2417506.00,8524386.00,6498775.00,1044511.00,740452.00,180754.00,59894.00,1538887.00,,10941892.00,10201440.00,2417506.00,7783934.00,,,3930830.00,2638151.00,178769.00,552677.00,905694.00,,94821.00,362811.00,199559.00,51746.00,233511.00,,59894.00,992977.00,,0.00,,740452.00,,1950506.00,,19804076.00
Nevada,16808682.00,,13904474.00,4558408.00,8025043.00,4266267.00,2081507.00,651067.00,0.00,0.00,1026202.00,,775386.00,545637.00,,48742.00,,2855466.00,,15229381.00,4429481.00,10799900.00,7041458.00,626461.00,2578586.00,426281.00,127114.00,1637787.00,,15229381.00,12600276.00,4429481.00,8170795.00,,,4816641.00,4034671.00,247890.00,244929.00,717606.00,,84059.00,283158.00,97432.00,18490.00,307430.00,,127114.00,1620856.00,,50519.00,,2578586.00,,3222367.00,,38262037.00
New Hampshire,8343685.00,,6996686.00,2609075.00,2641946.00,0.00,982832.00,329549.00,87973.00,700237.00,541355.00,,923320.00,822345.00,,,671035.00,675964.00,,7610619.00,460600.00,7150019.00,5413745.00,450651.00,762071.00,194596.00,328956.00,1113709.00,,7610619.00,6313140.00,460600.00,5852540.00,,,1458587.00,2389176.00,54828.00,152301.00,477474.00,,62254.00,122052.00,65956.00,24943.00,275287.00,,328956.00,901326.00,,6780.00,528628.00,762071.00,,7869122.00,,13973384.00
New Jersey,65689159.00,,60952881.00,17976242.00,31546720.00,9267703.00,3905629.00,1499889.00,13355992.00,2229487.00,1288020.00,,6547341.00,4882578.00,,1118942.00,,3617336.00,,72064882.00,11672318.00,60392564.00,38790201.00,4748484.00,13139220.00,1534401.00,2180258.00,10081203.00,,72064882.00,55934096.00,11672318.00,44261778.00,,,18082624.00,18456912.00,2259610.00,1385587.00,3310280.00,,706311.00,1392916.00,445887.00,230638.00,1760490.00,,2178788.00,5724053.00,,2991566.00,,13139220.00,,66721791.00,,112484312.00
New Mexico,18602071.00,,16536739.00,7030082.00,5462105.00,2085366.00,844638.00,342527.00,1409811.00,113942.00,665821.00,,1628297.00,2416255.00,,0.00,,2065332.00,,20029869.00,4986006.00,15043863.00,11320480.00,860818.00,2309050.00,255283.00,298232.00,2511479.00,,20029869.00,17720819.00,4986006.00,12734813.00,,,5925628.00,5631240.00,1152604.00,485089.00,715713.00,,157414.00,477630.00,208286.00,58748.00,605342.00,,298232.00,2004893.00,,0.00,,2309050.00,,6951535.00,,42508407.00
New York,185619993.00,,164398893.00,56822852.00,81353963.00,13534170.00,11255847.00,1794987.00,46508632.00,4181811.00,4078516.00,,9800144.00,16421934.00,,8080800.00,,13140300.00,,194242569.00,61639619.00,132602950.00,93803135.00,9541591.00,21598629.00,2011000.00,5648595.00,17719606.00,,194242569.00,159527135.00,61639619.00,97887516.00,,,45708630.00,63586859.00,5282713.00,8506029.00,5270887.00,,982307.00,3388695.00,420222.00,738523.00,5522322.00,,4069002.00,16050946.00,,13116805.00,,21598629.00,,137479990.00,,362107476.00
North Carolina,55216832.00,,51110442.00,15908501.00,26201826.00,7187844.00,3961516.00,1869060.00,12042957.00,1066511.00,73938.00,,5816649.00,3183466.00,,13.00,,4106377.00,,53398099.00,12858738.00,40539361.00,29060497.00,3806752.00,5916490.00,1177377.00,578245.00,7601593.00,,53398099.00,47300146.00,12858738.00,34441408.00,,,20385572.00,12938720.00,2132768.00,1204000.00,3883907.00,,725037.00,1256922.00,509359.00,201158.00,1626791.00,,578245.00,1857667.00,,181463.00,,5916490.00,,16919235.00,,116224191.00
North Dakota,7324343.00,,6699443.00,1641468.00,3709105.00,1017269.00,479555.00,204055.00,351125.00,103069.00,1554032.00,,825463.00,523407.00,,1.00,,624899.00,,8153778.00,2111716.00,6042062.00,3947312.00,1016817.00,747049.00,252276.00,78608.00,1082995.00,,8153778.00,7316466.00,2111716.00,5204750.00,,,2440574.00,1570813.00,27073.00,271762.00,1316191.00,,27376.00,100955.00,106656.00,36493.00,211557.00,,78608.00,1128408.00,,90263.00,,747049.00,,2355700.00,,28379833.00
Ohio,78331623.00,,67466442.00,24257560.00,28694883.00,12226504.00,6004663.00,2223747.00,8169197.00,33235.00,37537.00,,9075474.00,5438525.00,,,1154329.00,9710852.00,,86698954.00,18552156.00,68146798.00,43074039.00,4912026.00,17200064.00,1678516.00,1282153.00,8055942.00,,86698954.00,68684961.00,18552156.00,50132805.00,,,22608547.00,25748236.00,3839481.00,2422922.00,4076963.00,,363131.00,1758395.00,423641.00,205331.00,2066464.00,,1282153.00,3889697.00,,,813929.00,17200064.00,,33164507.00,,210599418.00
Oklahoma,22862875.00,,20920581.00,7246312.00,8491187.00,2471242.00,1307157.00,1039167.00,2996870.00,327783.00,348968.00,,2834877.00,2348205.00,,614914.00,,1327380.00,,24746427.00,4458922.00,20287505.00,14197207.00,2267941.00,2819735.00,573921.00,428701.00,3356066.00,,24746427.00,21023555.00,4458922.00,16564633.00,,,8311308.00,6572413.00,208434.00,991281.00,2144220.00,,232745.00,571005.00,138757.00,86044.00,714577.00,,345179.00,707592.00,,903137.00,,2819735.00,,8702914.00,,43180928.00
Oregon,32763887.00,,28108614.00,10027193.00,11043311.00,0.00,1532190.00,1048709.00,7690019.00,609868.00,162525.00,,4643863.00,2394247.00,,354.00,568119.00,4086800.00,,33938757.00,5551653.00,28387104.00,20590188.00,1392147.00,5392924.00,550349.00,461496.00,4233401.00,,33938757.00,28145254.00,5551653.00,22593601.00,,,8887758.00,10390910.00,2416126.00,626975.00,1170688.00,,201686.00,854026.00,591882.00,78886.00,1461190.00,,461496.00,1003631.00,,31805.00,368774.00,5392924.00,,13355878.00,,83469891.00
Pennsylvania,90792145.00,,79737894.00,26240030.00,37394589.00,10221593.00,9062781.00,2159170.00,11932232.00,2456231.00,1562582.00,,11410663.00,4692612.00,,,1937885.00,9116366.00,,96292444.00,20050597.00,76241847.00,52022745.00,8046045.00,12163270.00,2503716.00,1506071.00,9995674.00,,96292444.00,82309953.00,20050597.00,62259356.00,,,25031219.00,27934410.00,4991927.00,3229043.00,8685049.00,,1045151.00,2101822.00,660210.00,342281.00,2772823.00,,1506071.00,4009947.00,,1602.00,1817619.00,12163270.00,,47099314.00,,111235292.00
Rhode Island,8201456.00,,7430240.00,2518206.00,3265727.00,973585.00,691853.00,120936.00,1236194.00,144269.00,98890.00,,798457.00,847850.00,,22692.00,,748524.00,,8566489.00,1236874.00,7329615.00,4992681.00,459024.00,1272050.00,166674.00,439186.00,1285467.00,,8566489.00,7131374.00,1236874.00,5894500.00,,,2105486.00,2701788.00,67065.00,182258.00,315809.00,,81380.00,201516.00,53335.00,45791.00,389303.00,,439149.00,548494.00,,163065.00,,1272050.00,,9052017.00,,16638914.00
South Carolina,28937828.00,,24904905.00,8272305.00,9555900.00,3268415.00,1352392.00,499053.00,3869342.00,440489.00,126209.00,,4960870.00,2115830.00,,1864592.00,,2168331.00,,31606505.00,6393932.00,25212573.00,18365614.00,1623607.00,3423167.00,1145397.00,654788.00,3939086.00,,31606505.00,26615830.00,6393932.00,20221898.00,,,9548803.00,7429108.00,1803684.00,1147908.00,1664188.00,,184010.00,502322.00,209016.00,135457.00,566480.00,,369191.00,3055663.00,,1567508.00,,3423167.00,,16228097.00,,40744272.00
South Dakota,4537220.00,,4250719.00,1475385.00,1747550.00,968787.00,471254.00,268227.00,0.00,32684.00,6598.00,,438008.00,589776.00,,,,286501.00,,5071455.00,775059.00,4296396.00,2789507.00,765951.00,538569.00,90801.00,111568.00,750526.00,,5071455.00,4532886.00,775059.00,3757827.00,,,1480621.00,1046368.00,23145.00,191043.00,726472.00,,46310.00,126395.00,166869.00,42006.00,211150.00,,111568.00,360939.00,,,,538569.00,,3366459.00,,15527699.00
Tennessee,31427933.00,,28984418.00,11238782.00,13386169.00,7006376.00,2697871.00,1516966.00,323952.00,1538649.00,302355.00,,2234205.00,2125262.00,,,,2443515.00,,32336553.00,7617702.00,24718851.00,19016119.00,1565050.00,2618534.00,1253017.00,266131.00,3962154.00,,32336553.00,29716590.00,7617702.00,22098888.00,,,10171383.00,12327422.00,405191.00,669897.00,1552187.00,,260921.00,954903.00,331615.00,99007.00,865952.00,,266131.00,1811981.00,,1429.00,,2618534.00,,6075745.00,,53131756.00
Texas,144218813.00,,122794738.00,43750542.00,52132817.00,32131385.00,14239389.00,3414335.00,0.00,0.00,2347708.00,,15102385.00,11808994.00,,,,21424075.00,,145581592.00,31763445.00,113818147.00,80278534.00,11166483.00,17890912.00,2966373.00,1515845.00,18568924.00,,145581592.00,127680607.00,31763445.00,95917162.00,,,53611060.00,37548331.00,7649451.00,2783419.00,9522307.00,,1038324.00,4093657.00,934877.00,243623.00,2238670.00,,1515845.00,6501043.00,,10073.00,,17890912.00,,49357183.00,,341957347.00
Utah,18164518.00,,16441022.00,4233941.00,7082961.00,2083671.00,948148.00,290426.00,3374535.00,333358.00,52823.00,,4008310.00,1115810.00,,0.00,361199.00,1362297.00,,19284874.00,3511958.00,15772916.00,11514441.00,1511457.00,1787517.00,719439.00,240062.00,3336454.00,,19284874.00,17239697.00,3511958.00,13727739.00,,,8255511.00,3405959.00,1699785.00,388627.00,835995.00,,151844.00,342621.00,189265.00,47016.00,615522.00,,240062.00,1067490.00,,0.00,257660.00,1787517.00,,7013698.00,,33763037.00
Vermont,6488122.00,,6121318.00,2139158.00,3085865.00,371365.00,659892.00,117328.00,729986.00,98336.00,1108958.00,,601037.00,295258.00,,,61926.00,304878.00,,6728461.00,1771590.00,4956871.00,3997939.00,324799.00,378098.00,153332.00,102703.00,906270.00,,6728461.00,6289542.00,1771590.00,4517952.00,,,2703296.00,1769967.00,20483.00,387363.00,454280.00,,88203.00,139482.00,100842.00,19420.00,168116.00,,102703.00,335387.00,,1159.00,59662.00,378098.00,,2492083.00,,5641250.00
Virginia,51655912.00,,45425587.00,10227735.00,21219757.00,3931717.00,2954661.00,826306.00,12237996.00,752689.00,516388.00,,9732266.00,4245829.00,,0.00,736558.00,5493767.00,,52932360.00,12466977.00,40465383.00,29682859.00,3034096.00,4870598.00,1772716.00,1105114.00,7427466.00,,52932360.00,47348968.00,12466977.00,34881991.00,,,15930943.00,11248106.00,4789221.00,1452591.00,4900426.00,,577499.00,1806022.00,262343.00,126753.00,1560825.00,,1105114.00,3589125.00,,119165.00,593629.00,4870598.00,,28628254.00,,96236952.00
Washington,51122740.00,,43977131.00,13704988.00,22280088.00,13560382.00,4075649.00,1461200.00,0.00,0.00,3182857.00,,5260464.00,2731591.00,,452.00,0.00,7145157.00,,52909566.00,11874183.00,41035383.00,28020159.00,2951903.00,6987148.00,1636435.00,1439738.00,7982436.00,,52909566.00,45683897.00,11874183.00,33809714.00,,,18340626.00,12654033.00,2724044.00,1961839.00,2797191.00,,397980.00,1040326.00,971511.00,148780.00,1239726.00,,1439738.00,1968103.00,,238521.00,0.00,6987148.00,,33059765.00,,102578538.00
West Virginia,13906210.00,,12845029.00,4845755.00,5127970.00,1286833.00,1279857.00,128478.00,1845711.00,144680.00,442411.00,,1677667.00,1193637.00,,2397.00,92744.00,966040.00,,14371196.00,2385313.00,11985883.00,8986601.00,912680.00,1497137.00,303787.00,285678.00,1847312.00,,14371196.00,12786244.00,2385313.00,10400931.00,,,4285234.00,4452440.00,167187.00,288367.00,1162910.00,,84441.00,301038.00,260324.00,52408.00,493238.00,,285678.00,952979.00,,11832.00,75983.00,1497137.00,,7223531.00,,20182053.00
Wisconsin,36853220.00,,34642530.00,9317942.00,17607733.00,5058789.00,2662918.00,1151656.00,7486676.00,986785.00,260909.00,,4516598.00,3200257.00,,0.00,,2210690.00,,38230825.00,9032363.00,29198462.00,20999303.00,1159267.00,5325699.00,785391.00,928802.00,4272164.00,,38230825.00,32864656.00,9032363.00,23832293.00,,,11830291.00,10763551.00,2156464.00,453906.00,1706656.00,,147775.00,1111132.00,523281.00,58878.00,757444.00,,928802.00,2426476.00,,40470.00,,5325699.00,,23052389.00,,108721147.00
Wyoming,5914028.00,,5090453.00,2143281.00,1913607.00,641495.00,178651.00,157086.00,0.00,0.00,936375.00,,201623.00,831942.00,,,113914.00,709661.00,,6454141.00,1867516.00,4586625.00,3195611.00,454258.00,827223.00,74265.00,35268.00,719723.00,,6454141.00,5476125.00,1867516.00,3608609.00,,,2057333.00,825029.00,4596.00,265145.00,503698.00,,47640.00,145404.00,357362.00,24065.00,340247.00,,35268.00,870338.00,,52648.00,98145.00,827223.00,,775568.00,,29340747.00